"","geometry.type","geometry.coordinates.1","geometry.coordinates.2","properties.geopin","properties.objectid","properties.shape_area","properties.shape_leng","properties.situs_dir","properties.situs_num","properties.situs_str","properties.situs_type","type"
"177","MultiPolygon",-90.0888370074132,29.9803946325554,"41021540","20","10043.7769415","402.836561904","","1347","MOSS","ST","Feature"
"178","MultiPolygon",-90.0890675589736,29.9801598915282,"41021540","20","10043.7769415","402.836561904","","1347","MOSS","ST","Feature"
"179","MultiPolygon",-90.0892830994611,29.9803225848936,"41021540","20","10043.7769415","402.836561904","","1347","MOSS","ST","Feature"
"180","MultiPolygon",-90.0890626706289,29.9805517953071,"41021540","20","10043.7769415","402.836561904","","1347","MOSS","ST","Feature"
"181","MultiPolygon",-90.0888370074132,29.9803946325554,"41021540","20","10043.7769415","402.836561904","","1347","MOSS","ST","Feature"
"182","MultiPolygon",-90.1218840006631,29.9603149999934,"41027697","21","5409.50010454","300.109834464","","8437","APPLE","ST","Feature"
"183","MultiPolygon",-90.1220770013327,29.9601339998264,"41027697","21","5409.50010454","300.109834464","","8437","APPLE","ST","Feature"
"184","MultiPolygon",-90.1222160008708,29.9602460000033,"41027697","21","5409.50010454","300.109834464","","8437","APPLE","ST","Feature"
"185","MultiPolygon",-90.1220240011371,29.9604280001056,"41027697","21","5409.50010454","300.109834464","","8437","APPLE","ST","Feature"
"186","MultiPolygon",-90.1218840006631,29.9603149999934,"41027697","21","5409.50010454","300.109834464","","8437","APPLE","ST","Feature"
"187","MultiPolygon",-90.0818253215062,29.9576061924936,"41031349","22","101957.056279","1341.42535015","","1810","TULANE","AVE","Feature"
"188","MultiPolygon",-90.0811348904628,29.9573058162204,"41031349","22","101957.056279","1341.42535015","","1810","TULANE","AVE","Feature"
"189","MultiPolygon",-90.0811348983075,29.9573051911448,"41031349","22","101957.056279","1341.42535015","","1810","TULANE","AVE","Feature"
"190","MultiPolygon",-90.0815016359228,29.9561690802571,"41031349","22","101957.056279","1341.42535015","","1810","TULANE","AVE","Feature"
"191","MultiPolygon",-90.0821811438709,29.9564812287131,"41031349","22","101957.056279","1341.42535015","","1810","TULANE","AVE","Feature"
"192","MultiPolygon",-90.0818253215062,29.9576061924936,"41031349","22","101957.056279","1341.42535015","","1810","TULANE","AVE","Feature"
"193","MultiPolygon",-90.0868427634444,29.9602412015139,"41031393","23","55525.2680248","974.097449604","","2401","TULANE","AVE","Feature"
"194","MultiPolygon",-90.0876937667128,29.9606212082959,"41031393","23","55525.2680248","974.097449604","","2401","TULANE","AVE","Feature"
"195","MultiPolygon",-90.0872780094021,29.9610879892927,"41031393","23","55525.2680248","974.097449604","","2401","TULANE","AVE","Feature"
"196","MultiPolygon",-90.0865348270674,29.960582102456,"41031393","23","55525.2680248","974.097449604","","2401","TULANE","AVE","Feature"
"197","MultiPolygon",-90.0868427634444,29.9602412015139,"41031393","23","55525.2680248","974.097449604","","2401","TULANE","AVE","Feature"
"198","MultiPolygon",-90.0775247208915,29.9574695762855,"41031620","24","4351.10475443","331.684969727","","1565","CLEVELAND","AVE","Feature"
"199","MultiPolygon",-90.0775261486929,29.9574702150621,"41031620","24","4351.10475443","331.684969727","","1565","CLEVELAND","AVE","Feature"
"200","MultiPolygon",-90.0776065999581,29.9575234933433,"41031620","24","4351.10475443","331.684969727","","1565","CLEVELAND","AVE","Feature"
"201","MultiPolygon",-90.0776058742566,29.9575241115685,"41031620","24","4351.10475443","331.684969727","","1565","CLEVELAND","AVE","Feature"
